game_pk,home_team,away_team,home_flg,away_flg
744957,Toronto Blue Jays,Seattle Mariners,0,0
747138,Atlanta Braves,New York Mets,1,0
746326,Kansas City Royals,Houston Astros,0,1
745924,Minnesota Twins,Los Angeles Dodgers,0,0
745195,St. Louis Cardinals,Philadelphia Phillies,0,0
745030,Texas Rangers,Oakland Athletics,1,0
746571,Colorado Rockies,Arizona Diamondbacks,1,1
746250,Los Angeles Angels,Tampa Bay Rays,1,0
745357,San Francisco Giants,Washington Nationals,0,0
745433,San Diego Padres,Chicago Cubs,0,0
745923,Minnesota Twins,Los Angeles Dodgers,1,1
745196,St. Louis Cardinals,Philadelphia Phillies,0,1
744950,Toronto Blue Jays,Seattle Mariners,0,0
746573,Colorado Rockies,Arizona Diamondbacks,1,1
745355,San Francisco Giants,Washington Nationals,0,0
746247,Los Angeles Angels,Tampa Bay Rays,0,1
746655,Cleveland Guardians,Chicago White Sox,0,1
745429,San Diego Padres,Chicago Cubs,0,0
746728,Cincinnati Reds,Milwaukee Brewers,0,1
745763,New York Yankees,Miami Marlins,0,0
746980,Boston Red Sox,Baltimore Orioles,0,0
746323,Kansas City Royals,Houston Astros,0,0
745024,Texas Rangers,Oakland Athletics,1,1
747137,Atlanta Braves,New York Mets,0,1
746322,Kansas City Royals,Houston Astros,1,0
745029,Texas Rangers,Oakland Athletics,0,0
745601,Philadelphia Phillies,Pittsburgh Pirates,0,0
746977,Boston Red Sox,Baltimore Orioles,1,0
746491,Detroit Tigers,Minnesota Twins,1,0
745596,Philadelphia Phillies,Pittsburgh Pirates,0,0
745112,Tampa Bay Rays,San Francisco Giants,0,0
747055,Baltimore Orioles,Milwaukee Brewers,0,0
744954,Toronto Blue Jays,Colorado Rockies,1,0
746978,Boston Red Sox,Los Angeles Angels,0,1
745838,New York Mets,Kansas City Royals,0,0
746084,Miami Marlins,Atlanta Braves,0,1
746812,Chicago White Sox,Cincinnati Reds,0,1
746408,Houston Astros,Texas Rangers,1,1
745679,Oakland Athletics,Washington Nationals,0,0
745274,Seattle Mariners,Chicago Cubs,0,0
747217,Arizona Diamondbacks,St. Louis Cardinals,0,1
746162,Los Angeles Dodgers,San Diego Padres,1,1
746656,Cleveland Guardians,New York Yankees,0,0
746658,Cleveland Guardians,New York Yankees,0,1
746489,Detroit Tigers,Minnesota Twins,1,0
746490,Detroit Tigers,Minnesota Twins,0,1
745839,New York Mets,Kansas City Royals,1,1
746811,Chicago White Sox,Cincinnati Reds,0,0
744953,Toronto Blue Jays,Colorado Rockies,1,0
746405,Houston Astros,Texas Rangers,0,1
745594,Philadelphia Phillies,Pittsburgh Pirates,1,1
747054,Baltimore Orioles,Milwaukee Brewers,1,0
745676,Oakland Athletics,Washington Nationals,0,0
746979,Boston Red Sox,Los Angeles Angels,1,0
745110,Tampa Bay Rays,San Francisco Giants,0,1
746082,Miami Marlins,Atlanta Braves,1,0
747215,Arizona Diamondbacks,St. Louis Cardinals,1,0
746161,Los Angeles Dodgers,San Diego Padres,0,0
745272,Seattle Mariners,Chicago Cubs,0,0
746975,Boston Red Sox,Los Angeles Angels,1,0
745595,Philadelphia Phillies,Pittsburgh Pirates,0,0
747056,Baltimore Orioles,Milwaukee Brewers,1,1
744952,Toronto Blue Jays,Colorado Rockies,1,0
745841,New York Mets,Kansas City Royals,0,0
745113,Tampa Bay Rays,San Francisco Giants,1,1
746492,Detroit Tigers,Minnesota Twins,0,0
746079,Miami Marlins,Atlanta Braves,0,0
