date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2024-04-12,746978,7,Los Angeles Angels,Boston Red Sox,0,Los Angeles Angels,Boston Red Sox,7,0
2024-04-12,745838,1,Kansas City Royals,New York Mets,6,New York Mets,Kansas City Royals,6,1
2024-04-12,746084,8,Atlanta Braves,Miami Marlins,1,Atlanta Braves,Miami Marlins,8,1
2024-04-12,746812,11,Cincinnati Reds,Chicago White Sox,1,Cincinnati Reds,Chicago White Sox,11,1
2024-04-12,746408,12,Texas Rangers,Houston Astros,8,Texas Rangers,Houston Astros,12,8
2024-04-12,745679,1,Washington Nationals,Oakland Athletics,2,Oakland Athletics,Washington Nationals,2,1
2024-04-12,745274,2,Chicago Cubs,Seattle Mariners,4,Seattle Mariners,Chicago Cubs,4,2
2024-04-12,747217,9,St. Louis Cardinals,Arizona Diamondbacks,6,St. Louis Cardinals,Arizona Diamondbacks,9,6
2024-04-12,746162,8,San Diego Padres,Los Angeles Dodgers,7,San Diego Padres,Los Angeles Dodgers,8,7
2024-04-13,746656,3,New York Yankees,Cleveland Guardians,2,New York Yankees,Cleveland Guardians,3,2
2024-04-13,746658,8,New York Yankees,Cleveland Guardians,2,New York Yankees,Cleveland Guardians,8,2
2024-04-13,746489,11,Minnesota Twins,Detroit Tigers,5,Minnesota Twins,Detroit Tigers,11,5
2024-04-13,746490,4,Minnesota Twins,Detroit Tigers,1,Minnesota Twins,Detroit Tigers,4,1
2024-04-13,745839,11,Kansas City Royals,New York Mets,7,Kansas City Royals,New York Mets,11,7
2024-04-13,746811,5,Cincinnati Reds,Chicago White Sox,0,Cincinnati Reds,Chicago White Sox,5,0
2024-04-13,744953,3,Colorado Rockies,Toronto Blue Jays,5,Toronto Blue Jays,Colorado Rockies,5,3
2024-04-13,746405,2,Texas Rangers,Houston Astros,9,Houston Astros,Texas Rangers,9,2
2024-04-13,745594,3,Pittsburgh Pirates,Philadelphia Phillies,4,Philadelphia Phillies,Pittsburgh Pirates,4,3
2024-04-13,747054,11,Milwaukee Brewers,Baltimore Orioles,5,Milwaukee Brewers,Baltimore Orioles,11,5
2024-04-13,745676,3,Washington Nationals,Oakland Athletics,1,Washington Nationals,Oakland Athletics,3,1
2024-04-13,746979,2,Los Angeles Angels,Boston Red Sox,7,Boston Red Sox,Los Angeles Angels,7,2
2024-04-13,745110,11,San Francisco Giants,Tampa Bay Rays,2,San Francisco Giants,Tampa Bay Rays,11,2
2024-04-13,746082,1,Atlanta Braves,Miami Marlins,5,Miami Marlins,Atlanta Braves,5,1
2024-04-13,747215,2,St. Louis Cardinals,Arizona Diamondbacks,4,Arizona Diamondbacks,St. Louis Cardinals,4,2
2024-04-13,746161,2,San Diego Padres,Los Angeles Dodgers,5,Los Angeles Dodgers,San Diego Padres,5,2
2024-04-13,745272,4,Chicago Cubs,Seattle Mariners,1,Chicago Cubs,Seattle Mariners,4,1
2024-04-14,746975,4,Los Angeles Angels,Boston Red Sox,5,Boston Red Sox,Los Angeles Angels,5,4
2024-04-14,745595,9,Pittsburgh Pirates,Philadelphia Phillies,2,Pittsburgh Pirates,Philadelphia Phillies,9,2
2024-04-14,747056,4,Milwaukee Brewers,Baltimore Orioles,6,Baltimore Orioles,Milwaukee Brewers,6,4
