date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score,first_scorer
2024-06-23,746536,2,Washington Nationals,Colorado Rockies,1,Washington Nationals,Colorado Rockies,2,1,Colorado Rockies
2024-06-23,745648,3,Minnesota Twins,Oakland Athletics,0,Minnesota Twins,Oakland Athletics,3,0,Minnesota Twins
2024-06-23,745396,6,Milwaukee Brewers,San Diego Padres,2,Milwaukee Brewers,San Diego Padres,6,2,Milwaukee Brewers
2024-06-23,746862,5,New York Mets,Chicago Cubs,2,New York Mets,Chicago Cubs,5,2,New York Mets
2024-06-24,747021,3,Cleveland Guardians,Baltimore Orioles,2,Cleveland Guardians,Baltimore Orioles,3,2,Cleveland Guardians
2024-06-24,746458,8,Philadelphia Phillies,Detroit Tigers,1,Philadelphia Phillies,Detroit Tigers,8,1,Philadelphia Phillies
2024-06-24,745078,3,Seattle Mariners,Tampa Bay Rays,4,Tampa Bay Rays,Seattle Mariners,4,3,Seattle Mariners
2024-06-24,746696,5,Pittsburgh Pirates,Cincinnati Reds,11,Cincinnati Reds,Pittsburgh Pirates,11,5,Pittsburgh Pirates
2024-06-24,746941,6,Toronto Blue Jays,Boston Red Sox,7,Boston Red Sox,Toronto Blue Jays,7,6,Toronto Blue Jays
2024-06-24,745160,3,Atlanta Braves,St. Louis Cardinals,4,St. Louis Cardinals,Atlanta Braves,4,3,St. Louis Cardinals
2024-06-24,746780,3,Los Angeles Dodgers,Chicago White Sox,0,Los Angeles Dodgers,Chicago White Sox,3,0,Los Angeles Dodgers
2024-06-24,746298,1,Miami Marlins,Kansas City Royals,4,Kansas City Royals,Miami Marlins,4,1,Miami Marlins
2024-06-24,745974,3,Texas Rangers,Milwaukee Brewers,6,Milwaukee Brewers,Texas Rangers,6,3,Texas Rangers
2024-06-24,746218,1,Oakland Athletics,Los Angeles Angels,5,Los Angeles Angels,Oakland Athletics,5,1,Los Angeles Angels
2024-06-24,745397,6,Washington Nationals,San Diego Padres,7,San Diego Padres,Washington Nationals,7,6,San Diego Padres
2024-06-24,745323,4,Chicago Cubs,San Francisco Giants,5,San Francisco Giants,Chicago Cubs,5,4,Chicago Cubs
2024-06-25,747022,10,Cleveland Guardians,Baltimore Orioles,8,Cleveland Guardians,Baltimore Orioles,10,8,Cleveland Guardians
2024-06-25,746454,1,Philadelphia Phillies,Detroit Tigers,4,Detroit Tigers,Philadelphia Phillies,4,1,Detroit Tigers
2024-06-25,745076,3,Seattle Mariners,Tampa Bay Rays,11,Tampa Bay Rays,Seattle Mariners,11,3,Tampa Bay Rays
2024-06-25,746697,9,Pittsburgh Pirates,Cincinnati Reds,5,Pittsburgh Pirates,Cincinnati Reds,9,5,Pittsburgh Pirates
2024-06-25,746943,9,Toronto Blue Jays,Boston Red Sox,4,Toronto Blue Jays,Boston Red Sox,9,4,Boston Red Sox
2024-06-25,745806,7,New York Yankees,New York Mets,9,New York Mets,New York Yankees,9,7,New York Mets
2024-06-25,746372,2,Colorado Rockies,Houston Astros,5,Houston Astros,Colorado Rockies,5,2,Houston Astros
2024-06-25,746775,4,Los Angeles Dodgers,Chicago White Sox,3,Los Angeles Dodgers,Chicago White Sox,4,3,Los Angeles Dodgers
2024-06-25,746293,2,Miami Marlins,Kansas City Royals,1,Miami Marlins,Kansas City Royals,2,1,Kansas City Royals
2024-06-25,745973,1,Texas Rangers,Milwaukee Brewers,3,Milwaukee Brewers,Texas Rangers,3,1,Texas Rangers
2024-06-25,746213,5,Oakland Athletics,Los Angeles Angels,7,Los Angeles Angels,Oakland Athletics,7,5,Oakland Athletics
2024-06-25,745399,7,Washington Nationals,San Diego Padres,9,San Diego Padres,Washington Nationals,9,7,San Diego Padres
2024-06-25,747188,4,Minnesota Twins,Arizona Diamondbacks,5,Arizona Diamondbacks,Minnesota Twins,5,4,Arizona Diamondbacks
2024-06-25,745322,1,Chicago Cubs,San Francisco Giants,5,San Francisco Giants,Chicago Cubs,5,1,San Francisco Giants
2024-06-26,745073,5,Seattle Mariners,Tampa Bay Rays,2,Seattle Mariners,Tampa Bay Rays,5,2,Tampa Bay Rays
2024-06-26,746695,6,Pittsburgh Pirates,Cincinnati Reds,1,Pittsburgh Pirates,Cincinnati Reds,6,1,Pittsburgh Pirates
2024-06-26,746456,6,Philadelphia Phillies,Detroit Tigers,2,Philadelphia Phillies,Detroit Tigers,6,2,Philadelphia Phillies
2024-06-26,745157,6,Atlanta Braves,St. Louis Cardinals,2,Atlanta Braves,St. Louis Cardinals,6,2,Atlanta Braves
2024-06-26,745158,1,Atlanta Braves,St. Louis Cardinals,4,St. Louis Cardinals,Atlanta Braves,4,1,St. Louis Cardinals
2024-06-26,746374,1,Colorado Rockies,Houston Astros,7,Houston Astros,Colorado Rockies,7,1,Houston Astros
2024-06-26,746291,1,Miami Marlins,Kansas City Royals,5,Kansas City Royals,Miami Marlins,5,1,Miami Marlins
2024-06-26,745975,5,Texas Rangers,Milwaukee Brewers,6,Milwaukee Brewers,Texas Rangers,6,5,Texas Rangers
2024-06-26,746212,2,Oakland Athletics,Los Angeles Angels,5,Los Angeles Angels,Oakland Athletics,5,2,Oakland Athletics
2024-06-26,745400,5,Washington Nationals,San Diego Padres,8,San Diego Padres,Washington Nationals,8,5,San Diego Padres
2024-06-26,747019,2,Cleveland Guardians,Baltimore Orioles,4,Baltimore Orioles,Cleveland Guardians,4,2,Cleveland Guardians
